DTC,DTD,Time,Val,Unit,Year
HQ0,MANUAL-Observed Discharge,2015-11-15 08:00:00,572.72,m3/sec,2015
HQ0,MANUAL-Observed Discharge,2015-11-16 08:00:00,280.29,m3/sec,2015
HQ0,MANUAL-Observed Discharge,2015-11-17 08:00:00,129.71,m3/sec,2015
HQ0,MANUAL-Observed Discharge,2015-11-18 08:00:00,160.31,m3/sec,2015
HQ0,MANUAL-Observed Discharge,2015-11-19 08:00:00,116.71,m3/sec,2015
HQ0,MANUAL-Observed Discharge,2015-11-20 08:00:00,108.39,m3/sec,2015
HQ0,MANUAL-Observed Discharge,2015-11-21 08:00:00,81.49,m3/sec,2015
HQ0,MANUAL-Observed Discharge,2015-11-22 08:00:00,412.97,m3/sec,2015
HQ0,MANUAL-Observed Discharge,2015-11-23 08:00:00,140.89,m3/sec,2015
HQ0,MANUAL-Observed Discharge,2015-11-24 08:00:00,70.9,m3/sec,2015
HQ0,MANUAL-Observed Discharge,2015-11-25 08:00:00,64.95,m3/sec,2015
HQ0,MANUAL-Observed Discharge,2015-11-26 08:00:00,30.9,m3/sec,2015
HQ0,MANUAL-Observed Discharge,2015-11-27 08:00:00,26.51,m3/sec,2015
HQ0,MANUAL-Observed Discharge,2015-11-28 08:00:00,22.66,m3/sec,2015
HQ0,MANUAL-Observed Discharge,2015-11-29 08:00:00,9.89,m3/sec,2015
HQ0,MANUAL-Observed Discharge,2015-11-30 08:00:00,30.9,m3/sec,2015
HQ0,MANUAL-Observed Discharge,2015-12-01 08:00:00,53.81,m3/sec,2015
HQ0,MANUAL-Observed Discharge,2015-12-02 08:00:00,29.02,m3/sec,2015
HQ0,MANUAL-Observed Discharge,2015-12-03 08:00:00,15.08,m3/sec,2015
HQ0,MANUAL-Observed Discharge,2015-12-04 08:00:00,12.22,m3/sec,2015
HQ0,MANUAL-Observed Discharge,2015-12-05 08:00:00,8.75,m3/sec,2015
HQ0,MANUAL-Observed Discharge,2017-10-09 08:00:00,99.71,m3/sec,2017
HQ0,MANUAL-Observed Discharge,2017-10-10 08:00:00,89.31,m3/sec,2017
HQ0,MANUAL-Observed Discharge,2017-10-11 08:00:00,49.9,m3/sec,2017
HQ0,MANUAL-Observed Discharge,2017-10-12 08:00:00,19.01,m3/sec,2017
HQ0,MANUAL-Observed Discharge,2017-10-13 08:00:00,13.92,m3/sec,2017
HQ0,MANUAL-Observed Discharge,2017-10-14 08:00:00,9.94,m3/sec,2017
HQ0,MANUAL-Observed Discharge,2017-10-15 08:00:00,39.36,m3/sec,2017
HQ0,MANUAL-Observed Discharge,2017-10-16 08:00:00,49.9,m3/sec,2017
HQ0,MANUAL-Observed Discharge,2017-10-17 08:00:00,8.53,m3/sec,2017
HQ0,MANUAL-Observed Discharge,2017-10-21 08:00:00,5.01,m3/sec,2017
HQ0,MANUAL-Observed Discharge,2017-10-23 08:00:00,5.73,m3/sec,2017
HQ0,MANUAL-Observed Discharge,2017-10-26 08:00:00,14.83,m3/sec,2017
HQ0,MANUAL-Observed Discharge,2017-10-31 08:00:00,13.92,m3/sec,2017
HQ0,MANUAL-Observed Discharge,2019-09-20 08:00:00,3.3,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-09-21 08:00:00,9.14,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-09-22 08:00:00,12.85,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-09-23 08:00:00,19.75,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-09-24 08:00:00,19.75,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-09-25 08:00:00,13.54,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-09-26 08:00:00,7.09,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-09-27 08:00:00,7.09,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-09-28 08:00:00,7.09,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-09-29 08:00:00,6.37,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-09-30 08:00:00,6.37,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-10-01 08:00:00,4.59,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-10-02 08:00:00,4.3,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-10-03 08:00:00,4.3,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-10-04 08:00:00,3.87,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-10-05 08:00:00,3.87,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-10-06 08:00:00,3.15,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-10-07 08:00:00,2.88,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-10-08 08:00:00,2.88,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-10-09 08:00:00,2.88,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-10-10 08:00:00,2.88,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-10-11 08:00:00,2.88,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-10-12 08:00:00,2.88,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-10-13 08:00:00,2.88,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-10-14 08:00:00,2.88,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-10-15 08:00:00,2.88,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-10-16 08:00:00,2.88,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-10-17 08:00:00,2.88,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-10-18 08:00:00,2.88,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-10-19 08:00:00,2.88,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-10-20 08:00:00,2.88,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-10-21 08:00:00,2.88,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-10-22 08:00:00,2.88,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-10-23 08:00:00,2.88,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-10-24 08:00:00,2.88,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-10-25 08:00:00,2.88,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-10-26 08:00:00,2.88,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-10-27 08:00:00,2.88,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-10-28 08:00:00,2.88,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-10-29 08:00:00,2.88,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-10-30 08:00:00,3.87,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-10-31 08:00:00,5.38,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-01 08:00:00,5.38,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-02 08:00:00,4.59,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-03 08:00:00,4.3,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-04 08:00:00,3.87,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-05 08:00:00,2.88,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-06 08:00:00,2.11,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-07 08:00:00,1.62,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-08 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-09 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-10 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-11 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-12 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-13 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-14 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-15 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-16 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-17 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-18 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-19 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-20 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-21 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-22 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-23 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-24 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-25 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-26 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-27 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-28 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-29 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-30 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-01 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-02 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-03 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-04 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-05 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-06 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-07 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-08 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-09 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-10 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-11 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-12 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-13 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-14 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-15 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-16 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-17 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-18 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-19 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-20 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-21 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-22 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-23 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-24 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-25 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-26 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-27 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-28 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-29 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-30 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-31 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2020-08-01 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-02 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-03 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-04 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-05 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-06 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-07 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-08 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-09 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-10 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-11 08:00:00,38.04,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-12 08:00:00,38.04,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-13 08:00:00,38.04,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-14 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-15 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-16 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-17 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-18 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-19 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-20 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-21 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-22 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-23 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-24 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-25 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-26 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-27 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-28 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-29 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-30 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-08-31 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-01 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-02 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-03 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-04 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-05 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-06 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-07 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-08 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-09 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-10 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-11 08:00:00,38.04,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-12 08:00:00,38.04,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-13 08:00:00,38.04,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-14 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-15 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-16 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-17 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-18 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-19 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-20 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-21 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-22 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-23 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-24 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-25 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-26 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-27 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-28 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-29 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-30 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-01 08:00:00,10.22,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-02 08:00:00,10.22,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-03 08:00:00,10.22,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-04 08:00:00,7.84,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-05 08:00:00,7.84,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-06 08:00:00,7.84,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-07 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-08 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-09 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-10 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-11 08:00:00,10.22,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-12 08:00:00,7.84,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-13 08:00:00,6.61,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-14 08:00:00,4.48,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-15 08:00:00,3.01,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-16 08:00:00,3.01,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-17 08:00:00,3.01,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-18 08:00:00,3.01,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-19 08:00:00,4.48,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-20 08:00:00,6.61,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-21 08:00:00,6.61,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-22 08:00:00,7.84,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-23 08:00:00,7.84,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-24 08:00:00,6.61,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-25 08:00:00,6.61,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-26 08:00:00,4.48,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-27 08:00:00,4.48,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-28 08:00:00,4.48,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-29 08:00:00,4.48,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-30 08:00:00,4.48,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-31 08:00:00,4.48,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-01 08:00:00,4.48,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-02 08:00:00,4.48,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-03 08:00:00,4.48,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-04 08:00:00,4.48,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-05 08:00:00,4.48,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-06 08:00:00,4.48,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-07 08:00:00,4.48,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-08 08:00:00,4.48,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-09 08:00:00,6.61,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-10 08:00:00,6.61,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-11 08:00:00,6.61,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-12 08:00:00,6.61,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-13 08:00:00,7.84,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-14 08:00:00,7.84,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-15 08:00:00,10.22,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-16 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-17 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-18 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-19 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-20 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-21 08:00:00,25.97,m3/sec,2020
